InventoryID,StoreID,ProductID,CurrentStock,ReorderLevel,MaximumStock,LastRestockedDate,LastModifiedDate,IsActive
INV000023,STR0001,20801,133,26,441,2026-01-12,2026-07-05 19:34:40.488554,True
INV000024,STR0001,22926,375,24,415,2026-01-29,2026-07-05 19:34:40.488596,True
INV000025,STR0001,22581,14,58,399,2026-01-28,2026-07-05 19:34:40.488638,True
INV000026,STR0001,82001s,395,55,445,2026-02-18,2026-07-05 19:34:40.488678,True
INV000027,STR0001,84255A,174,23,639,2026-05-04,2026-07-05 19:34:40.488717,True
INV000028,STR0001,35981C,1,55,405,2026-04-07,2026-07-05 19:34:40.488758,True
INV000029,STR0001,22551,2,27,592,2026-04-29,2026-07-05 19:34:40.488795,True
INV000030,STR0001,21417,384,76,564,2026-06-20,2026-07-05 19:34:40.488831,True
INV000031,STR0001,23073,179,29,300,2026-02-03,2026-07-05 19:34:40.488869,True
INV000032,STR0001,DCGS0062,181,60,695,2026-05-31,2026-07-05 19:34:40.488909,True
INV000033,STR0001,23159,439,65,456,2026-01-12,2026-07-05 19:34:40.488945,True
INV000034,STR0001,84706D,54,61,346,2026-04-24,2026-07-05 19:34:40.489024,True
INV000035,STR0001,10120,34,45,355,2026-04-10,2026-07-05 19:34:40.489068,True
INV000036,STR0001,21556,420,25,578,2026-06-17,2026-07-05 19:34:40.489106,True
INV000037,STR0001,90078,196,57,579,2026-04-09,2026-07-05 19:34:40.489144,True
INV000038,STR0001,22284,198,26,493,2026-03-30,2026-07-05 19:34:40.489183,True
INV000039,STR0001,90176A,224,36,548,2026-06-11,2026-07-05 19:34:40.489243,True
INV000040,STR0001,22119,188,21,567,2026-05-11,2026-07-05 19:34:40.489288,True
INV000041,STR0001,23058,509,40,509,2026-05-06,2026-07-05 19:34:40.489326,True
INV000042,STR0001,84843,156,80,309,2026-04-29,2026-07-05 19:34:40.489364,True
INV000043,STR0001,79337,49,53,459,2026-02-03,2026-07-05 19:34:40.489401,True
INV000044,STR0001,22456,296,66,437,2026-03-17,2026-07-05 19:34:40.489441,True
INV000045,STR0001,85132C,269,60,345,2026-06-23,2026-07-05 19:34:40.489481,True
INV000046,STR0001,22143,269,48,344,2026-03-15,2026-07-05 19:34:40.489519,True
INV000047,STR0001,21283,109,52,314,2026-01-19,2026-07-05 19:34:40.489559,True
INV000048,STR0001,84926D,400,45,620,2026-05-23,2026-07-05 19:34:40.489604,True
INV000049,STR0001,84030c,43,45,689,2026-05-28,2026-07-05 19:34:40.489646,True
INV000050,STR0001,47503H,391,79,647,2026-03-22,2026-07-05 19:34:40.489685,True
INV000051,STR0001,48129,245,37,550,2026-05-07,2026-07-05 19:34:40.489723,True
INV000052,STR0001,21129,216,49,316,2026-03-27,2026-07-05 19:34:40.489760,True
INV000053,STR0001,47503J ,210,64,534,2026-03-27,2026-07-05 19:34:40.489798,True
INV000054,STR0001,22438,223,47,462,2026-02-16,2026-07-05 19:34:40.489836,True
INV000055,STR0001,22967,5,43,321,2026-02-21,2026-07-05 19:34:40.489874,True
INV000056,STR0001,23571,259,36,501,2026-02-20,2026-07-05 19:34:40.489912,True
INV000057,STR0001,gift_0001_30,297,74,491,2026-06-09,2026-07-05 19:34:40.489950,True
INV000058,STR0001,22806,56,32,369,2026-06-03,2026-07-05 19:34:40.489988,True
INV000059,STR0001,23014,135,46,643,2026-02-17,2026-07-05 19:34:40.490024,True
INV000060,STR0001,23370,349,58,568,2026-01-24,2026-07-05 19:34:40.490061,True
INV000061,STR0001,35095A,288,71,699,2026-05-25,2026-07-05 19:34:40.490099,True
INV000062,STR0001,84581,642,48,663,2026-03-13,2026-07-05 19:34:40.490136,True
INV000063,STR0001,22503,158,30,645,2026-06-13,2026-07-05 19:34:40.490172,True
INV000064,STR0001,21406,188,69,621,2026-05-06,2026-07-05 19:34:40.490213,True
INV000065,STR0001,72800A,80,58,461,2026-02-12,2026-07-05 19:34:40.490280,True
INV000066,STR0001,22842,59,27,684,2026-07-04,2026-07-05 19:34:40.490320,True
INV000067,STR0001,22067,276,52,574,2026-06-19,2026-07-05 19:34:40.490361,True
INV000068,STR0001,22782,283,28,593,2026-05-31,2026-07-05 19:34:40.490398,True
INV000069,STR0001,21635,386,33,455,2026-01-21,2026-07-05 19:34:40.490434,True
INV000070,STR0001,23506,242,70,313,2026-01-06,2026-07-05 19:34:40.490470,True
INV000071,STR0001,90181B,382,48,569,2026-02-03,2026-07-05 19:34:40.490506,True
INV000072,STR0001,84680,368,36,407,2026-02-15,2026-07-05 19:34:40.490542,True
INV000073,STR0001,22349,379,61,478,2026-05-24,2026-07-05 19:34:40.490579,True
INV000074,STR0001,22867,225,30,441,2026-02-15,2026-07-05 19:34:40.490616,True
INV000075,STR0001,90016B,72,38,682,2026-01-17,2026-07-05 19:34:40.490653,True
INV000076,STR0001,21813,234,75,644,2026-03-24,2026-07-05 19:34:40.490689,True
INV000077,STR0001,85145,200,24,581,2026-05-28,2026-07-05 19:34:40.490725,True
INV000078,STR0001,84255B,40,36,413,2026-03-31,2026-07-05 19:34:40.490764,True
INV000079,STR0001,47593a,155,56,448,2026-02-16,2026-07-05 19:34:40.490801,True
INV000080,STR0001,23578,482,33,561,2026-02-27,2026-07-05 19:34:40.490838,True
INV000081,STR0001,72739B,229,48,441,2026-06-10,2026-07-05 19:34:40.490874,True
INV000082,STR0001,22733,107,20,364,2026-02-22,2026-07-05 19:34:40.490909,True
INV000083,STR0001,21858,459,30,507,2026-02-13,2026-07-05 19:34:40.490945,True
INV000084,STR0001,82093,213,35,595,2026-02-23,2026-07-05 19:34:40.490984,True
INV000085,STR0001,20681,71,56,304,2026-01-24,2026-07-05 19:34:40.491022,True
INV000086,STR0001,23427,187,30,552,2026-06-22,2026-07-05 19:34:40.491061,True
INV000087,STR0001,22362,295,74,345,2026-04-28,2026-07-05 19:34:40.491097,True
INV000088,STR0001,84952C,494,28,511,2026-04-20,2026-07-05 19:34:40.491133,True
INV000089,STR0001,16169P,162,58,527,2026-05-09,2026-07-05 19:34:40.491168,True
INV000090,STR0001,90147,186,65,572,2026-01-07,2026-07-05 19:34:40.491204,True
INV000091,STR0001,90067B,197,77,603,2026-06-09,2026-07-05 19:34:40.491617,True
INV000092,STR0001,72771C,12,59,300,2026-04-26,2026-07-05 19:34:40.491694,True
INV000093,STR0001,85107,254,47,304,2026-04-16,2026-07-05 19:34:40.491751,True
INV000094,STR0001,23331,362,38,446,2026-05-16,2026-07-05 19:34:40.491807,True
INV000095,STR0001,gift_0001_40,444,42,577,2026-05-25,2026-07-05 19:34:40.491862,True
INV000096,STR0001,72801e,17,43,356,2026-03-22,2026-07-05 19:34:40.491913,True
INV000097,STR0001,22624,407,36,407,2026-01-09,2026-07-05 19:34:40.491961,True
INV000098,STR0001,20657,126,76,321,2026-01-30,2026-07-05 19:34:40.492012,True
INV000099,STR0001,85087,311,75,351,2026-04-15,2026-07-05 19:34:40.492060,True
INV000100,STR0001,23639,323,36,438,2026-01-11,2026-07-05 19:34:40.492107,True
INV000101,STR0001,22572,313,29,426,2026-01-21,2026-07-05 19:34:40.492153,True
INV000102,STR0001,21648,259,38,499,2026-06-20,2026-07-05 19:34:40.492233,True
INV000103,STR0001,79144B,407,76,590,2026-03-27,2026-07-05 19:34:40.492284,True
INV000104,STR0001,21004,188,37,505,2026-04-03,2026-07-05 19:34:40.492329,True
INV000105,STR0001,35965,328,44,361,2026-01-22,2026-07-05 19:34:40.492376,True
INV000106,STR0001,84721,332,72,459,2026-05-23,2026-07-05 19:34:40.492431,True
INV000107,STR0001,21146,523,67,594,2026-04-07,2026-07-05 19:34:40.492480,True
INV000108,STR0001,22450,369,37,655,2026-03-26,2026-07-05 19:34:40.492526,True
INV000109,STR0001,85045,236,79,561,2026-01-14,2026-07-05 19:34:40.492564,True
INV000110,STR0001,84510E,507,68,521,2026-02-18,2026-07-05 19:34:40.492602,True
INV000111,STR0001,21658,159,52,342,2026-05-16,2026-07-05 19:34:40.492639,True
INV000112,STR0001,21032,131,50,332,2026-05-28,2026-07-05 19:34:40.492677,True
INV000113,STR0001,85132c,392,49,464,2026-03-06,2026-07-05 19:34:40.492715,True
INV000114,STR0001,21907,254,70,663,2026-01-30,2026-07-05 19:34:40.492751,True
INV000115,STR0001,72724,483,24,578,2026-07-03,2026-07-05 19:34:40.492788,True
INV000116,STR0001,23351,360,71,546,2026-03-16,2026-07-05 19:34:40.492825,True
INV000117,STR0001,46137D,563,28,580,2026-05-24,2026-07-05 19:34:40.492861,True
INV000118,STR0001,23570,332,79,418,2026-04-12,2026-07-05 19:34:40.492898,True
INV000119,STR0001,23327,235,48,444,2026-01-09,2026-07-05 19:34:40.492935,True
INV000120,STR0001,85157,81,43,455,2026-04-03,2026-07-05 19:34:40.492972,True
INV000121,STR0001,22592,220,77,310,2026-01-19,2026-07-05 19:34:40.493011,True
INV000122,STR0001,20618,228,31,584,2026-02-14,2026-07-05 19:34:40.493048,True
INV000123,STR0001,21792,180,24,417,2026-05-22,2026-07-05 19:34:40.493084,True
INV000124,STR0001,85232C,26,34,609,2026-05-21,2026-07-05 19:34:40.493123,True
INV000125,STR0001,23241,255,25,641,2026-05-05,2026-07-05 19:34:40.493165,True
INV000126,STR0001,22934,132,37,397,2026-01-30,2026-07-05 19:34:40.493202,True
INV000127,STR0001,22695,301,45,495,2026-02-15,2026-07-05 19:34:40.493272,True
INV000128,STR0001,23609,581,22,607,2026-03-11,2026-07-05 19:34:40.493316,True
INV000129,STR0001,90010A,266,42,623,2026-02-18,2026-07-05 19:34:40.493354,True
INV000130,STR0001,22665,252,47,595,2026-03-24,2026-07-05 19:34:40.493392,True
INV000131,STR0001,47021G,230,59,566,2026-04-08,2026-07-05 19:34:40.493429,True
INV000132,STR0001,22220,33,77,312,2026-06-23,2026-07-05 19:34:40.493466,True
INV000133,STR0001,22749,161,66,305,2026-04-08,2026-07-05 19:34:40.493502,True
INV000134,STR0001,84965A,162,39,563,2026-02-10,2026-07-05 19:34:40.493538,True
INV000135,STR0001,21685,296,46,323,2026-05-10,2026-07-05 19:34:40.493576,True
INV000136,STR0001,22833,116,44,416,2026-03-15,2026-07-05 19:34:40.493615,True
INV000137,STR0001,90142D,260,40,595,2026-04-09,2026-07-05 19:34:40.493651,True
INV000138,STR0001,22153,271,30,578,2026-01-15,2026-07-05 19:34:40.493690,True
INV000139,STR0001,22844,230,56,300,2026-06-24,2026-07-05 19:34:40.493727,True
INV000140,STR0001,20704,369,68,552,2026-04-24,2026-07-05 19:34:40.493765,True
INV000141,STR0001,84658,430,71,504,2026-02-10,2026-07-05 19:34:40.493801,True
INV000142,STR0001,45008C,195,64,375,2026-05-19,2026-07-05 19:34:40.493838,True
INV000143,STR0001,85049A,30,77,510,2026-01-13,2026-07-05 19:34:40.493874,True
INV000144,STR0001,90079,325,33,601,2026-05-25,2026-07-05 19:34:40.493910,True
INV000145,STR0001,84509G,494,80,552,2026-05-10,2026-07-05 19:34:40.493950,True
INV000146,STR0001,22898,288,63,522,2026-02-04,2026-07-05 19:34:40.493987,True
INV000147,STR0001,90125B,369,20,446,2026-01-27,2026-07-05 19:34:40.494024,True
INV000148,STR0001,21111,209,39,565,2026-02-17,2026-07-05 19:34:40.494060,True
INV000149,STR0001,23186,19,41,317,2026-04-06,2026-07-05 19:34:40.494095,True
INV000150,STR0001,84510B,73,41,315,2026-02-05,2026-07-05 19:34:40.494133,True
INV000151,STR0001,84993B,119,26,448,2026-06-18,2026-07-05 19:34:40.494190,True
INV000152,STR0001,84946,283,26,616,2026-05-07,2026-07-05 19:34:40.494236,True
INV000153,STR0001,23308,108,79,346,2026-02-26,2026-07-05 19:34:40.494275,True
INV000154,STR0001,22544,386,34,439,2026-05-17,2026-07-05 19:34:40.494312,True
INV000155,STR0001,21498,506,52,542,2026-05-15,2026-07-05 19:34:40.494348,True
INV000156,STR0001,22209,169,26,401,2026-02-08,2026-07-05 19:34:40.494384,True
INV000157,STR0001,84707A,116,65,691,2026-02-14,2026-07-05 19:34:40.494419,True
INV000158,STR0001,23645,67,50,497,2026-04-19,2026-07-05 19:34:40.494455,True
INV000159,STR0001,46000M,318,56,537,2026-06-28,2026-07-05 19:34:40.494492,True
INV000160,STR0001,21884,499,75,591,2026-04-20,2026-07-05 19:34:40.494529,True
INV000161,STR0001,84608,228,32,494,2026-03-15,2026-07-05 19:34:40.494565,True
INV000162,STR0001,90124B,92,57,397,2026-04-02,2026-07-05 19:34:40.494605,True
INV000163,STR0001,22366,81,45,381,2026-02-13,2026-07-05 19:34:40.494641,True
INV000164,STR0001,21410,497,67,561,2026-03-17,2026-07-05 19:34:40.494681,True
INV000165,STR0001,51020B,62,72,311,2026-01-22,2026-07-05 19:34:40.494717,True
INV000166,STR0001,16215,144,30,445,2026-01-13,2026-07-05 19:34:40.494754,True
INV000167,STR0001,21242,223,77,507,2026-06-04,2026-07-05 19:34:40.494790,True
INV000168,STR0001,22358,161,77,509,2026-03-28,2026-07-05 19:34:40.494826,True
INV000169,STR0001,84770,54,52,327,2026-04-03,2026-07-05 19:34:40.494862,True
INV000170,STR0001,22952,380,24,416,2026-05-15,2026-07-05 19:34:40.494898,True
INV000171,STR0001,23270,398,23,673,2026-05-05,2026-07-05 19:34:40.494934,True
INV000172,STR0001,45014,255,35,410,2026-01-09,2026-07-05 19:34:40.494970,True
INV000173,STR0001,22790,51,42,556,2026-03-29,2026-07-05 19:34:40.495005,True
INV000174,STR0001,90001A,190,65,648,2026-04-23,2026-07-05 19:34:40.495042,True
INV000175,STR0001,21719,163,59,347,2026-06-11,2026-07-05 19:34:40.495078,True
INV000176,STR0001,90087,222,64,421,2026-04-20,2026-07-05 19:34:40.495113,True
INV000177,STR0001,47343A,275,36,312,2026-02-12,2026-07-05 19:34:40.495148,True
INV000178,STR0001,35945,231,21,626,2026-04-12,2026-07-05 19:34:40.495208,True
INV000179,STR0001,79534,358,31,689,2026-01-10,2026-07-05 19:34:40.495255,True
INV000180,STR0001,90202B,623,39,688,2026-05-19,2026-07-05 19:34:40.495295,True
INV000181,STR0001,21385,109,26,345,2026-06-03,2026-07-05 19:34:40.495331,True
INV000182,STR0001,22151,299,20,614,2026-01-07,2026-07-05 19:34:40.495368,True
INV000183,STR0001,S,291,65,421,2026-02-27,2026-07-05 19:34:40.495405,True
INV000184,STR0001,22307,154,77,511,2026-04-10,2026-07-05 19:34:40.495448,True
INV000185,STR0001,20819,615,34,620,2026-05-10,2026-07-05 19:34:40.495486,True
INV000186,STR0001,22950,504,38,578,2026-04-19,2026-07-05 19:34:40.495523,True
INV000187,STR0001,SP1002,244,44,518,2026-06-22,2026-07-05 19:34:40.495559,True
INV000188,STR0001,16168M,282,48,591,2026-03-05,2026-07-05 19:34:40.495599,True
INV000189,STR0001,16169D,50,37,466,2026-06-16,2026-07-05 19:34:40.495636,True
INV000190,STR0001,23106,637,53,698,2026-05-16,2026-07-05 19:34:40.495672,True
INV000191,STR0001,21467,383,31,474,2026-04-09,2026-07-05 19:34:40.495707,True
INV000192,STR0001,37413,251,49,447,2026-01-23,2026-07-05 19:34:40.495743,True
INV000193,STR0001,21496,507,38,595,2026-03-28,2026-07-05 19:34:40.495779,True
INV000194,STR0001,35913B,65,32,525,2026-04-17,2026-07-05 19:34:40.495814,True
INV000195,STR0001,21243,437,27,678,2026-06-14,2026-07-05 19:34:40.495854,True
INV000196,STR0001,37326,440,69,440,2026-05-05,2026-07-05 19:34:40.495891,True
INV000197,STR0001,21842,99,80,401,2026-02-21,2026-07-05 19:34:40.495928,True
INV000198,STR0001,85072,85,33,373,2026-04-03,2026-07-05 19:34:40.495974,True
INV000199,STR0001,84963B,252,54,591,2026-06-12,2026-07-05 19:34:40.496017,True
INV000200,STR0001,35610A,205,29,575,2026-02-05,2026-07-05 19:34:40.496053,True
INV000201,STR0001,84313B,616,47,645,2026-01-14,2026-07-05 19:34:40.496092,True
INV000202,STR0001,21972,447,37,585,2026-05-14,2026-07-05 19:34:40.496130,True
INV000203,STR0001,22868,34,24,397,2026-05-04,2026-07-05 19:34:40.496199,True
INV000204,STR0001,22848,297,56,505,2026-06-09,2026-07-05 19:34:40.496244,True
INV000205,STR0001,23691,628,23,690,2026-06-18,2026-07-05 19:34:40.496281,True
INV000206,STR0001,84615,93,69,330,2026-04-06,2026-07-05 19:34:40.496318,True
INV000207,STR0001,35085E,74,29,403,2026-04-15,2026-07-05 19:34:40.496355,True
INV000208,STR0001,47421,539,32,577,2026-05-30,2026-07-05 19:34:40.496390,True
INV000209,STR0001,21580,23,42,413,2026-04-26,2026-07-05 19:34:40.496427,True
INV000210,STR0001,84969,206,63,380,2026-03-24,2026-07-05 19:34:40.496463,True
INV000211,STR0001,22175,77,35,617,2026-03-25,2026-07-05 19:34:40.496499,True
INV000212,STR0001,21407,180,31,564,2026-03-11,2026-07-05 19:34:40.496535,True
INV000213,STR0001,22309,303,74,319,2026-05-17,2026-07-05 19:34:40.496571,True
INV000214,STR0001,90185D,141,66,326,2026-06-04,2026-07-05 19:34:40.496607,True
INV000215,STR0001,22442,350,29,436,2026-03-30,2026-07-05 19:34:40.496642,True
INV000216,STR0001,79072,332,60,676,2026-02-03,2026-07-05 19:34:40.496678,True
INV000217,STR0001,84313C,70,48,311,2026-04-07,2026-07-05 19:34:40.496714,True
INV000218,STR0001,20988,554,73,657,2026-06-17,2026-07-05 19:34:40.496750,True
INV000219,STR0001,23483,547,57,650,2026-03-19,2026-07-05 19:34:40.496786,True
INV000220,STR0001,16256B,140,59,557,2026-06-25,2026-07-05 19:34:40.496821,True
INV000221,STR0001,20675,436,66,501,2026-02-15,2026-07-05 19:34:40.496858,True
INV000222,STR0001,90082D,365,52,501,2026-04-02,2026-07-05 19:34:40.496894,True
INV000223,STR0001,90186A,156,63,438,2026-06-24,2026-07-05 19:34:40.496935,True
INV000224,STR0001,21255,45,68,516,2026-02-17,2026-07-05 19:34:40.496972,True
INV000225,STR0001,21739,233,52,394,2026-02-17,2026-07-05 19:34:40.497010,True
INV000226,STR0001,23486,459,26,681,2026-01-29,2026-07-05 19:34:40.497046,True
INV000227,STR0001,23234,408,57,418,2026-01-31,2026-07-05 19:34:40.497086,True
INV000228,STR0001,21893,560,78,659,2026-07-04,2026-07-05 19:34:40.497123,True
INV000229,STR0001,79331,87,30,429,2026-06-13,2026-07-05 19:34:40.497160,True
INV000230,STR0001,22263,230,28,647,2026-02-20,2026-07-05 19:34:40.497225,True
INV000231,STR0001,21721,363,24,593,2026-06-27,2026-07-05 19:34:40.497275,True
INV000232,STR0001,21670,233,24,529,2026-02-12,2026-07-05 19:34:40.497315,True
INV000233,STR0001,16014,41,74,301,2026-03-14,2026-07-05 19:34:40.497353,True
INV000234,STR0001,90185B,178,52,489,2026-03-06,2026-07-05 19:34:40.497392,True
INV000235,STR0001,21821,208,71,411,2026-02-27,2026-07-05 19:34:40.497429,True
INV000236,STR0001,85114c,42,63,540,2026-03-26,2026-07-05 19:34:40.497464,True
INV000237,STR0001,71215,194,47,438,2026-02-04,2026-07-05 19:34:40.497500,True
INV000238,STR0001,21564,378,30,623,2026-03-24,2026-07-05 19:34:40.497537,True
INV000239,STR0001,84800M,428,77,562,2026-05-17,2026-07-05 19:34:40.497577,True
INV000240,STR0001,22458,298,59,638,2026-04-15,2026-07-05 19:34:40.497615,True
INV000241,STR0001,21186,244,23,504,2026-03-14,2026-07-05 19:34:40.497652,True
INV000242,STR0001,21391,351,76,562,2026-03-13,2026-07-05 19:34:40.497692,True
INV000243,STR0001,22323,128,25,544,2026-05-19,2026-07-05 19:34:40.497729,True
INV000244,STR0001,21025,41,69,329,2026-03-18,2026-07-05 19:34:40.497767,True
INV000245,STR0001,71459,415,29,486,2026-04-24,2026-07-05 19:34:40.497804,True
INV000246,STR0001,23382,12,52,321,2026-05-16,2026-07-05 19:34:40.497841,True
INV000247,STR0001,21559,363,50,672,2026-01-25,2026-07-05 19:34:40.497879,True
INV000248,STR0001,23084,299,28,322,2026-06-11,2026-07-05 19:34:40.497917,True
INV000249,STR0001,22443,13,77,415,2026-04-21,2026-07-05 19:34:40.497954,True
INV000250,STR0001,22810,378,66,541,2026-03-23,2026-07-05 19:34:40.498009,True
INV000251,STR0001,47586A,135,21,680,2026-06-25,2026-07-05 19:34:40.498045,True
INV000252,STR0001,85129A,243,76,383,2026-02-16,2026-07-05 19:34:40.498082,True
INV000253,STR0001,90175C,35,39,625,2026-05-04,2026-07-05 19:34:40.498119,True
INV000254,STR0001,90038B,160,44,583,2026-03-02,2026-07-05 19:34:40.498156,True
INV000255,STR0001,20727,85,38,463,2026-03-14,2026-07-05 19:34:40.498223,True
INV000256,STR0001,23174,152,32,361,2026-01-16,2026-07-05 19:34:40.498263,True
INV000257,STR0001,20985,205,78,420,2026-06-25,2026-07-05 19:34:40.498300,True
INV000258,STR0001,23052,94,26,535,2026-05-07,2026-07-05 19:34:40.498337,True
INV000259,STR0001,20851,330,24,591,2026-05-14,2026-07-05 19:34:40.498379,True
INV000260,STR0001,22470,444,31,606,2026-06-12,2026-07-05 19:34:40.498416,True
INV000261,STR0001,22217,221,28,489,2026-06-04,2026-07-05 19:34:40.498456,True
INV000262,STR0001,84205C,275,23,338,2026-01-26,2026-07-05 19:34:40.498495,True
INV000263,STR0001,84705b,178,49,383,2026-06-06,2026-07-05 19:34:40.498532,True
INV000264,STR0001,21669,28,73,636,2026-01-07,2026-07-05 19:34:40.498569,True
INV000265,STR0001,21500,392,45,657,2026-05-24,2026-07-05 19:34:40.498606,True
INV000266,STR0001,21780,273,62,686,2026-06-10,2026-07-05 19:34:40.498642,True
INV000267,STR0001,21596,40,70,410,2026-04-27,2026-07-05 19:34:40.498679,True
INV000268,STR0001,85099B,427,49,553,2026-01-07,2026-07-05 19:34:40.498716,True
INV000269,STR0001,84964A,409,80,510,2026-01-24,2026-07-05 19:34:40.498752,True
INV000270,STR0001,90141E,371,43,421,2026-01-15,2026-07-05 19:34:40.498790,True
INV000271,STR0001,22652,356,72,544,2026-02-12,2026-07-05 19:34:40.498826,True
INV000272,STR0001,22891,238,32,656,2026-04-19,2026-07-05 19:34:40.498862,True
INV000273,STR0001,84396,205,78,434,2026-06-05,2026-07-05 19:34:40.498898,True
INV000274,STR0001,22187,64,74,599,2026-05-27,2026-07-05 19:34:40.498934,True
INV000275,STR0001,22518,111,25,501,2026-02-23,2026-07-05 19:34:40.498980,True
INV000276,STR0001,23139,184,66,304,2026-03-11,2026-07-05 19:34:40.499022,True
INV000277,STR0001,21631,32,48,653,2026-05-06,2026-07-05 19:34:40.499058,True
INV000278,STR0001,21554,8,42,657,2026-05-04,2026-07-05 19:34:40.499096,True
INV000279,STR0001,37410,189,45,433,2026-06-07,2026-07-05 19:34:40.499133,True
INV000280,STR0001,90171,245,60,307,2026-04-10,2026-07-05 19:34:40.499190,True
INV000281,STR0001,22939,98,77,530,2026-03-22,2026-07-05 19:34:40.499236,True
INV000282,STR0001,20884,341,66,586,2026-03-30,2026-07-05 19:34:40.499283,True
INV000283,STR0001,22482,64,40,304,2026-06-26,2026-07-05 19:34:40.499322,True
INV000284,STR0001,47563B,350,38,478,2026-06-29,2026-07-05 19:34:40.499358,True
INV000285,STR0001,22682,172,26,555,2026-05-16,2026-07-05 19:34:40.499393,True
INV000286,STR0001,20825,64,30,338,2026-03-18,2026-07-05 19:34:40.499430,True
INV000287,STR0001,22804,154,34,549,2026-06-22,2026-07-05 19:34:40.499466,True
INV000288,STR0001,22377,275,30,317,2026-01-19,2026-07-05 19:34:40.499502,True
INV000289,STR0001,48116,166,28,322,2026-04-30,2026-07-05 19:34:40.499538,True
INV000290,STR0001,23284,566,74,688,2026-01-13,2026-07-05 19:34:40.499573,True
INV000291,STR0001,21299,74,66,666,2026-06-25,2026-07-05 19:34:40.499613,True
INV000292,STR0001,23150,241,60,327,2026-03-23,2026-07-05 19:34:40.499650,True
INV000293,STR0001,47367B,247,75,603,2026-06-16,2026-07-05 19:34:40.499688,True
INV000294,STR0001,20674,239,64,665,2026-01-18,2026-07-05 19:34:40.499726,True
INV000295,STR0001,85232d,331,54,367,2026-03-28,2026-07-05 19:34:40.499762,True
INV000296,STR0001,21089,106,75,468,2026-06-25,2026-07-05 19:34:40.499799,True
INV000297,STR0001,20673,298,77,484,2026-01-28,2026-07-05 19:34:40.499835,True
INV000298,STR0001,23032,136,31,362,2026-02-09,2026-07-05 19:34:40.499872,True
INV000299,STR0001,84536b,230,57,658,2026-04-21,2026-07-05 19:34:40.499908,True
INV000300,STR0001,22024,283,40,331,2026-01-26,2026-07-05 19:34:40.499944,True
INV000301,STR0001,84509a,56,20,694,2026-05-09,2026-07-05 19:34:40.500001,True
INV000302,STR0001,20702,297,78,554,2026-04-24,2026-07-05 19:34:40.500038,True
INV000303,STR0001,84864A,311,24,545,2026-06-20,2026-07-05 19:34:40.500074,True
INV000304,STR0001,85170C,56,21,388,2026-01-15,2026-07-05 19:34:40.500110,True
INV000305,STR0001,51012L,228,74,367,2026-05-02,2026-07-05 19:34:40.500147,True
INV000306,STR0001,85230D,257,59,525,2026-06-26,2026-07-05 19:34:40.500207,True
INV000307,STR0001,23164,400,25,410,2026-05-13,2026-07-05 19:34:40.500248,True
INV000308,STR0001,22410,160,77,533,2026-02-23,2026-07-05 19:34:40.500284,True
INV000309,STR0001,40018E,675,32,699,2026-04-26,2026-07-05 19:34:40.500319,True
INV000310,STR0001,37424,459,49,475,2026-06-04,2026-07-05 19:34:40.500356,True
INV000311,STR0001,85039C,353,28,536,2026-03-21,2026-07-05 19:34:40.500392,True
INV000312,STR0001,20902,156,37,436,2026-06-06,2026-07-05 19:34:40.500428,True
INV000313,STR0001,21808,360,79,544,2026-01-09,2026-07-05 19:34:40.500465,True
