ProductID,ProductName,Category,SubCategory,Brand,Supplier,CostPrice,SellingPrice,LaunchDate,LastModifiedDate,IsActive
20692,FLORAL ELEPHANT SOFT TOY,Electronics,Batteries,PrimeGoods,Global Traders,4.03,4.87,2020-01-01,2026-07-05 18:58:26.022190,True
20693,FLORAL DINOSAUR GREEN,Gift,Seasonal,UrbanHome,Global Traders,3.79,5.16,2020-01-01,2026-07-05 18:58:26.022223,True
20694,FLORAL PINK MONSTER,Home,Kitchen,RetailPlus,Global Traders,3.61,4.38,2020-01-01,2026-07-05 18:58:26.022257,True
20695,FLORAL BLUE MONSTER,Gift,Souvenirs,NovaRetail,Prime Distribution,3.44,4.83,2020-01-01,2026-07-05 18:58:26.022292,True
20696,FLORAL SOFT CAR TOY,Office,Organization,SmartLiving,UK Imports,3.96,4.72,2020-01-01,2026-07-05 18:58:26.022326,True
20697,LITTLE GREEN MONSTER SOFT TOY,Electronics,Lighting,NovaRetail,ABC Supplies,2.19,2.51,2020-01-01,2026-07-05 18:58:26.022359,True
20698,LITTLE PINK MONSTER SOFT TOY,Office,Desk,PrimeGoods,ABC Supplies,2.21,2.51,2020-01-01,2026-07-05 18:58:26.022416,True
20699,MOUSEY LONG LEGS SOFT TOY,Electronics,Accessories,PrimeGoods,Global Traders,2.33,3.14,2020-01-01,2026-07-05 18:58:26.022453,True
20700,GREEN CAT FLORAL CUSHION COVER ,Office,Organization,NovaRetail,Retail Wholesale Ltd,4.79,5.44,2020-01-01,2026-07-05 18:58:26.022487,True
20701,PINK CAT FLORAL CUSHION COVER ,Office,Organization,UrbanHome,Prime Distribution,3.8,4.42,2020-01-01,2026-07-05 18:58:26.022520,True
20702,PINK PADDED MOBILE,Home,Kitchen,SmartLiving,UK Imports,3.14,4.3,2020-01-01,2026-07-05 18:58:26.022553,True
20703,BLUE PADDED SOFT MOBILE,Office,Stationery,RetailPlus,UK Imports,3.25,4.26,2020-01-01,2026-07-05 18:58:26.022587,True
20704,MR ROBOT SOFT TOY,Home,Decor,SmartLiving,Global Traders,4.85,6.38,2020-01-01,2026-07-05 18:58:26.022621,True
20705,MRS ROBOT SOFT TOY,Office,Desk,NovaRetail,Prime Distribution,4.44,5.36,2020-01-01,2026-07-05 18:58:26.022655,True
20707,CRAZY DAISY HEART DECORATION,Gift,Cards,SmartLiving,UK Imports,0.99,1.23,2020-01-01,2026-07-05 18:58:26.022689,True
20711,JUMBO BAG TOYS ,Home,Storage,PrimeGoods,Prime Distribution,2.14,2.72,2020-01-01,2026-07-05 18:58:26.022722,True
20712,JUMBO BAG WOODLAND ANIMALS,Home,Kitchen,NovaRetail,ABC Supplies,2.31,2.73,2020-01-01,2026-07-05 18:58:26.022754,True
20713,JUMBO BAG OWLS,Home,Kitchen,PrimeGoods,Global Traders,1.96,2.57,2020-01-01,2026-07-05 18:58:26.022787,True
20714,POSY SHOPPER BAG,Office,Stationery,UrbanHome,Global Traders,0.75,0.95,2020-01-01,2026-07-05 18:58:26.022820,True
20715,LITTLE FLOWER SHOPPER BAG,Gift,Souvenirs,RetailPlus,Retail Wholesale Ltd,0.87,1.06,2020-01-01,2026-07-05 18:58:26.022853,True
20716,PARTY FOOD SHOPPER BAG,Office,Organization,UrbanHome,ABC Supplies,1.2,1.45,2020-01-01,2026-07-05 18:58:26.022886,True
20717,STRAWBERRY SHOPPER BAG,Electronics,Accessories,PrimeGoods,Global Traders,1.14,1.6,2020-01-01,2026-07-05 18:58:26.022919,True
20718,RED RETROSPOT SHOPPER BAG,Home,Kitchen,SmartLiving,ABC Supplies,1.42,1.65,2020-01-01,2026-07-05 18:58:26.022952,True
20719,WOODLAND CHARLOTTE BAG,Gift,Cards,RetailPlus,Global Traders,0.97,1.15,2020-01-01,2026-07-05 18:58:26.022987,True
20721,OWLS CHARLOTTE BAG,Gift,Seasonal,SmartLiving,Prime Distribution,0.71,0.85,2020-01-01,2026-07-05 18:58:26.023021,True
20723,STRAWBERRY CHARLOTTE BAG,Gift,Seasonal,NovaRetail,ABC Supplies,0.94,1.13,2020-01-01,2026-07-05 18:58:26.023054,True
20724,RED RETROSPOT CHARLOTTE BAG,Home,Kitchen,PrimeGoods,UK Imports,0.8,1.1,2020-01-01,2026-07-05 18:58:26.023087,True
20725,LUNCH BAG RED RETROSPOT,Electronics,Accessories,UrbanHome,Prime Distribution,1.48,2.05,2020-01-01,2026-07-05 18:58:26.023120,True
20726,LUNCH BAG WOODLAND,Gift,Souvenirs,SmartLiving,Global Traders,1.76,2.1,2020-01-01,2026-07-05 18:58:26.023153,True
20727,LUNCH BAG  BLACK SKULL.,Gift,Seasonal,NovaRetail,Retail Wholesale Ltd,1.6,2.01,2020-01-01,2026-07-05 18:58:26.023186,True
20728,LUNCH BAG CARS BLUE,Home,Storage,UrbanHome,ABC Supplies,1.42,1.97,2020-01-01,2026-07-05 18:58:26.023218,True
20729,RED SPOTTY CANDY BAG,Home,Storage,UrbanHome,Prime Distribution,1.21,1.4,2020-01-01,2026-07-05 18:58:26.023251,True
20730,STRAWBERRY CANDY BAG,Office,Desk,NovaRetail,ABC Supplies,0.91,1.09,2020-01-01,2026-07-05 18:58:26.023284,True
20731,POSY CANDY BAG,Electronics,Batteries,NovaRetail,Global Traders,1.02,1.4,2020-01-01,2026-07-05 18:58:26.023317,True
20733,GOLD MINI TAPE MEASURE ,Electronics,Batteries,RetailPlus,Global Traders,0.74,0.85,2020-01-01,2026-07-05 18:58:26.023349,True
20734,SILVER MINI TAPE MEASURE ,Electronics,Lighting,UrbanHome,Retail Wholesale Ltd,1.14,1.33,2020-01-01,2026-07-05 18:58:26.023404,True
20735,BLACK MINI TAPE MEASURE ,Electronics,Lighting,UrbanHome,UK Imports,0.99,1.2,2020-01-01,2026-07-05 18:58:26.023442,True
20736,PINK MINI TAPE MEASURE ,Electronics,Lighting,UrbanHome,Prime Distribution,0.74,0.84,2020-01-01,2026-07-05 18:58:26.023476,True
20737,RED MINI TAPE MEASURE ,Home,Storage,NovaRetail,Prime Distribution,1.41,1.7,2020-01-01,2026-07-05 18:58:26.023510,True
20738,GREEN MINI TAPE MEASURE ,Electronics,Batteries,NovaRetail,Retail Wholesale Ltd,0.79,0.95,2020-01-01,2026-07-05 18:58:26.023543,True
20739,*USB Office Glitter Lamp,Home,Decor,SmartLiving,Global Traders,7.21,8.65,2020-01-01,2026-07-05 18:58:26.023576,True
20747,PICCADILLY TEA SET,Home,Decor,SmartLiving,Retail Wholesale Ltd,11.05,15.68,2020-01-01,2026-07-05 18:58:26.023609,True
20748,KENSINGTON COFFEE SET,Gift,Cards,PrimeGoods,ABC Supplies,9.89,12.39,2020-01-01,2026-07-05 18:58:26.023644,True
20749,ASSORTED COLOUR MINI CASES,Electronics,Lighting,PrimeGoods,Global Traders,7.27,8.08,2020-01-01,2026-07-05 18:58:26.023678,True
20750,RED RETROSPOT MINI CASES,Office,Organization,SmartLiving,UK Imports,6.54,8.13,2020-01-01,2026-07-05 18:58:26.023711,True
20751,FUNKY WASHING UP GLOVES ASSORTED,Electronics,Lighting,SmartLiving,Global Traders,1.66,2.3,2020-01-01,2026-07-05 18:58:26.023744,True
20752,BLUE POLKADOT WASHING UP GLOVES,Home,Decor,RetailPlus,Prime Distribution,1.92,2.39,2020-01-01,2026-07-05 18:58:26.023776,True
20753,RETRO PINK SPOT WASHING UP GLOVES,Office,Organization,PrimeGoods,Prime Distribution,2.25,2.65,2020-01-01,2026-07-05 18:58:26.023809,True
20754,RETROSPOT RED WASHING UP GLOVES,Electronics,Accessories,PrimeGoods,Prime Distribution,1.81,2.49,2020-01-01,2026-07-05 18:58:26.023842,True
20755,BLUE PAISLEY POCKET BOOK,Home,Decor,UrbanHome,ABC Supplies,0.7,0.92,2020-01-01,2026-07-05 18:58:26.023876,True
20756,GREEN FERN POCKET BOOK,Home,Decor,SmartLiving,Prime Distribution,0.6,0.81,2020-01-01,2026-07-05 18:58:26.023908,True
20757,RED DAISY POCKET BOOK ,Home,Kitchen,RetailPlus,Retail Wholesale Ltd,0.6,0.84,2020-01-01,2026-07-05 18:58:26.023941,True
20758,ABSTRACT CIRCLES POCKET BOOK,Gift,Souvenirs,NovaRetail,ABC Supplies,0.68,0.82,2020-01-01,2026-07-05 18:58:26.023974,True
20759,CHRYSANTHEMUM POCKET BOOK ,Electronics,Batteries,SmartLiving,UK Imports,0.59,0.77,2020-01-01,2026-07-05 18:58:26.024006,True
20760,GARDEN PATH POCKET BOOK,Electronics,Lighting,SmartLiving,UK Imports,0.64,0.79,2020-01-01,2026-07-05 18:58:26.024040,True
20761,BLUE PAISLEY SKETCHBOOK,Electronics,Accessories,PrimeGoods,Prime Distribution,3.63,4.04,2020-01-01,2026-07-05 18:58:26.024086,True
20762,GREEN FERN SKETCHBOOK ,Gift,Seasonal,PrimeGoods,Prime Distribution,2.97,3.89,2020-01-01,2026-07-05 18:58:26.024120,True
20763,DAISY SKETCHBOOK ,Office,Organization,NovaRetail,UK Imports,3.08,3.85,2020-01-01,2026-07-05 18:58:26.024153,True
20764,ABSTRACT CIRCLES SKETCHBOOK ,Home,Storage,PrimeGoods,ABC Supplies,3.51,4.16,2020-01-01,2026-07-05 18:58:26.024186,True
20765,CHRYSANTHEMUM SKETCHBOOK ,Electronics,Batteries,RetailPlus,Global Traders,2.75,3.89,2020-01-01,2026-07-05 18:58:26.024219,True
20766,GARDEN PATH SKETCHBOOK,Office,Organization,RetailPlus,ABC Supplies,3.4,3.97,2020-01-01,2026-07-05 18:58:26.024255,True
20767,BLUE PAISLEY JOURNAL ,Office,Organization,PrimeGoods,UK Imports,1.99,2.67,2020-01-01,2026-07-05 18:58:26.024307,True
20768,GREEN FERN JOURNAL ,Gift,Souvenirs,RetailPlus,Prime Distribution,1.93,2.56,2020-01-01,2026-07-05 18:58:26.024340,True
20769,DAISY JOURNAL ,Gift,Cards,RetailPlus,Global Traders,2.29,2.56,2020-01-01,2026-07-05 18:58:26.024374,True
20770,ABSTRACT CIRCLE JOURNAL ,Gift,Seasonal,UrbanHome,UK Imports,1.76,2.47,2020-01-01,2026-07-05 18:58:26.024434,True
20771,CHRYSANTHEMUM  JOURNAL,Electronics,Accessories,RetailPlus,ABC Supplies,1.93,2.56,2020-01-01,2026-07-05 18:58:26.024468,True
20772,GARDEN PATH JOURNAL,Home,Decor,NovaRetail,Retail Wholesale Ltd,1.81,2.54,2020-01-01,2026-07-05 18:58:26.024502,True
20773,BLUE PAISLEY NOTEBOOK,Home,Decor,NovaRetail,Retail Wholesale Ltd,1.46,1.74,2020-01-01,2026-07-05 18:58:26.024538,True
20774,GREEN FERN NOTEBOOK,Electronics,Batteries,UrbanHome,Prime Distribution,1.41,1.73,2020-01-01,2026-07-05 18:58:26.024571,True
20775,DAISY NOTEBOOK ,Electronics,Lighting,PrimeGoods,UK Imports,1.24,1.75,2020-01-01,2026-07-05 18:58:26.024604,True
